"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"Orotic acid","Orotic acid","HMDB0000226","967","16742","C00295","318","C1=C(NC(=O)NC1=O)C(=O)O","1"
"Oxoglutaric acid","Oxoglutaric acid","HMDB0000208","51","30915","C00026","5218","C(CC(=O)O)C(=O)C(=O)O","1"
"Phthalic acid","Phthalic acid","HMDB0002107","1017","29069","C01606","6489","C1=CC=C(C(=C1)C(=O)O)C(=O)O","1"
"Sucrose 6-Phosphate","Sucrose 6-phosphate","METPA0307",NA,NA,"C02591",NA,NA,"1"
"Taurine","Taurine","HMDB0000251","1123","15891","C00245","31","C(CS(=O)(=O)O)N","1"
"Uric acid","Uric acid","HMDB0000289","1175","17775","C00366","88","C12=C(NC(=O)N1)NC(=O)NC2=O","1"
"Uridine","Uridine","HMDB0000296","6029","16704","C00299","90","C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O","1"
"Uridine 5'-diphosphate","Uridine 5'-diphosphate","HMDB0000295","6031","17659","C00015",NA,"C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O)O","1"
"Uridine 5'-monophosphate","Uridine 5'-monophosphate","HMDB0000288","6030","16695","C00105",NA,"C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O","1"
"R-lipoic acid","NA","NA","NA","NA","NA","NA","NA","0"
"3-Methylhistidine","3-Methylhistidine","HMDB0000479","64969","27596","C01152","5466","CN1C=NC=C1C[C@@H](C(=O)O)N","1"
"4-Hydroxyphenylpyruvic acid","4-Hydroxyphenylpyruvic acid","HMDB0000707","979","15999","C01179","5675","C1=CC(=CC=C1CC(=O)C(=O)O)O","1"
"5'-Methylthioadenosine","5'-Methylthioadenosine","HMDB0001173","439176","17509","C00170","3425","CSC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O","1"
"Acetyl-CoA","Acetyl-CoA","HMDB0001206","444493","15351","C00024","6082","CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O","1"
"Alanylglycine.1","NA","NA","NA","NA","NA","NA","NA","0"
"Allantoin","Allantoin","HMDB0000462","204","15676","C01551","89","C1(C(=O)NC(=O)N1)NC(=O)N","1"
"Citric acid","Citric acid","HMDB0000094","311","30769","C00158","124","C(C(=O)O)C(CC(=O)O)(C(=O)O)O","1"
"Cyclic AMP","Cyclic AMP","HMDB0000058","6076","17489","C00575","5120","C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=CN=C4N)O)OP(=O)(O1)O","1"
"Deoxyribose 5-phosphate","Deoxyribose 5-phosphate","HMDB0001031","45934311","16132","C00673","5956","C1[C@@H]([C@H](O[C@H]1O)COP(=O)(O)O)O","1"
"D-Erythrose 4-phosphate","D-Erythrose 4-phosphate","HMDB0001321","122357","48153","C00279","6158","C([C@H]([C@H](C=O)O)O)OP(=O)(O)O","1"
"D-Glucuronic acid","D-Glucuronic acid","HMDB0000127","444791","42717","C00191","161","[C@@H]1([C@@H]([C@H](O[C@@H]([C@@H]1O)O)C(=O)O)O)O","1"
"Dodecanoic acid","Dodecanoic acid","HMDB0000638","3893","30805","C02679","5611","CCCCCCCCCCCC(=O)O","1"
"Ergocalciferol NPS","NA","NA","NA","NA","NA","NA","NA","0"
"FAD","FAD","HMDB0001248","643975","16238","C00016","6106","CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C5N=CN=C6N)O)O)O)O)O","1"
"Gamma-Aminobutyric acid","Gamma-Aminobutyric acid","HMDB0000112","119","16865","C00334",NA,"C(CC(=O)O)CN","1"
"Glucosamine 6-phosphate","Glucosamine 6-phosphate","HMDB0001254","439217","15873","C00352","6111","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)N)O)O)OP(=O)(O)O","1"
"Glutathionylspermidine NPS","NA","NA","NA","NA","NA","NA","NA","0"
"Glycerol 3-phosphate","Glycerol 3-phosphate","HMDB0000126","439162","15978","C00093","5161","C([C@H](COP(=O)(O)O)O)O","1"
"Guanosine","Guanosine","HMDB0000133","6802","16750","C00387","87","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=NC2=O)N","1"
"L-Asparagine","L-Asparagine","HMDB0000168","6267","17196","C00152","14","C([C@@H](C(=O)O)N)C(=O)N","1"
"L-Aspartic acid","L-Aspartic acid","HMDB0000191","5960","17053","C00049","5206","C([C@@H](C(=O)O)N)C(=O)O","1"
"L-Citronellol NPS","NA","NA","NA","NA","NA","NA","NA","0"
"L-Cystine","L-Cystine","HMDB0000192","67678","16283","C00491","5207","C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N","1"
"L-Homoserine","L-Homoserine","HMDB0000719","12647","15699","C00263","5687","C(CO)[C@@H](C(=O)O)N","1"
"L-Isoleucine","L-Isoleucine","HMDB0000172","6306","17191","C00407","5193","CC[C@H](C)[C@@H](C(=O)O)N","1"
"L-Malic acid","L-Malic acid","HMDB0000156","222656","30797","C00149",NA,"C([C@@H](C(=O)O)O)C(=O)O","1"
"L-Serine","L-Serine","HMDB0000187","5951","17115","C00065","5203","C([C@@H](C(=O)O)N)O","1"
"L-Tyrosine","L-Tyrosine","HMDB0000158","6057","17895","C00082","34","C1=CC(=CC=C1C[C@@H](C(=O)O)N)O","1"
"N-Acetylglutamine","N-Acetylglutamine","HMDB0006029","25561","73685","",NA,"CC(=O)NC(CCC(=O)N)C(=O)O","1"
"N-Acetylhistamine","N-Acetylhistamine","HMDB0013253","69602","28483","C05135",NA,"CC(=O)NCCC1=CN=CN1","1"
"N-Acetylneuraminic acid","N-Acetylneuraminic acid","HMDB0000230","445063","45744","C19910","3321","CC(=O)N[C@@H]1[C@H](C[C@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O)O","1"
"N-Acetylornithine","N-Acetylornithine","HMDB0003357","439232","16543","C00437",NA,"CC(=O)N[C@@H](CCCN)C(=O)O","1"
"NAD","NAD","HMDB0000902","5893","15846","C00003","5858","C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)N","1"
"NADP","NADP","HMDB0000217","5886","18009","C00006","5227","C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)OP(=O)(O)O)O)O)O)C(=O)N","1"
"N-Alpha-acetyllysine","N-Alpha-acetyllysine","HMDB0000446","192590","35704","C12989","5435","CC(=O)NC(CCCCN)C(=O)O","1"
"Ornithine","Ornithine","HMDB0000214","6262","15729","C00077","27","C(C[C@@H](C(=O)O)N)CN","1"
"Orotidine","Orotidine","HMDB0000788","92751","25722","C01103","5754","C1=C(N(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)O","1"
"Oxalacetic acid","Oxalacetic acid","HMDB0000223","970","30744","C00036","123","C(C(=O)C(=O)O)C(=O)O","1"
"Oxalic acid","Oxalic acid","HMDB0002329","971","16995","C00209","113","C(=O)(C(=O)O)O","1"
"Palmitic acid","Palmitic acid","HMDB0000220","985","15756","C00249","187","CCCCCCCCCCCCCCCC(=O)O","1"
"PC140/140","NA","NA","NA","NA","NA","NA","NA","0"
"Phenylacetylglycine","Phenylacetylglycine","HMDB0000821","68144","27480","C05598","4237","C1=CC=C(C=C1)CC(=O)NCC(=O)O","1"
"PS140/140","NA","NA","NA","NA","NA","NA","NA","0"
"Pyridoxal","Pyridoxal","HMDB0001545","1050","17310","C00250","6312","CC1=NC=C(C(=C1O)C=O)CO","1"
"Succinic acid","Succinic acid","HMDB0000254","1110","15741","C00042","114","C(CC(=O)O)C(=O)O","1"
"Sucrose","Sucrose","HMDB0000258","5988","17992","C00089","137","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O","1"
"Taurocholic acid","Taurocholic acid","HMDB0000036","440567","28865","C05122","5104","CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1([C@H](CC3C2[C@@H](C[C@H]4C3(CC[C@H](C4)O)C)O)O)C","1"
"Thiamine pyrophosphate","Thiamine pyrophosphate","HMDB0001372","1132","9532","C00068","2832","CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)O","1"
"Thymine","Thymine","HMDB0000262","1135","17821","C00178","290","CC1=CNC(=O)NC1=O","1"
"Trehalose 6-phosphate NPS","NA","NA","NA","NA","NA","NA","NA","0"
"Uridine diphosphate glucose","Uridine diphosphate glucose","HMDB0000286","53477679",NA,"C00029","5278","C1=CN(C(=O)NC1=O)[C@@H]2[C@H]([C@H]([C@@H](O2)COP(=O)(O)OP(=O)(O)OC3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)O)O)O","1"
"2,3-Dihydroxybutanedioic acid","2,3-Dihydroxybutanedioic acid","HMDB0059916",NA,"20","",NA,"OC(C(O)C(O)=O)C(O)=O","1"
"2-Ketobutyric acid","2-Ketobutyric acid","HMDB0000005","58","30831","C00109",NA,"CCC(=O)C(=O)O","1"
"5-Aminolevulinic acid","5-Aminolevulinic acid","HMDB0001149","137","17549","C00430","6037","C(CC(=O)O)C(=O)CN","1"
"Adenosine monophosphate","Adenosine monophosphate","HMDB0000045","6083","16027","C00020","5111","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O","1"
"Alpha-Lactose","Alpha-Lactose","HMDB0000186","84571","36219","C00243","267","C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O","1"
"Aminoadipic acid","Aminoadipic acid","HMDB0000510","469","37024","C00956","5496","C(CC(C(=O)O)N)CC(=O)O","1"
"Betaine","Betaine","HMDB0000043","247","17750","C00719","287","C[N+](C)(C)CC(=O)[O-]","1"
"Cytidine monophosphate","Cytidine monophosphate","HMDB0000095","6131","17361","C00055","5143","C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O","1"
"dCMP","dCMP","HMDB0001202","13945","15918","C00239","6078","C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)O)O","1"
"Deoxyadenosine monophosphate","Deoxyadenosine monophosphate","HMDB0000905","12599","17713","C00360","3461","C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)COP(=O)(O)O)O","1"
"D-Fructose","D-Fructose","HMDB0000660","439709","28645","C02336","135","C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)O","1"
"D-Glyceraldehyde 3-phosphate","D-Glyceraldehyde 3-phosphate","HMDB0001112","729","17138","C00661","3294","C(C(C=O)O)OP(=O)(O)O","1"
"dIMP","dIMP","HMDB0006555","91531","28806","C06196",NA,"C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC=NC3=O)COP(=O)(O)O)O","1"
"D-Ribose","D-Ribose","HMDB0000283","5779","16988","C00121","313","C([C@@H]1[C@H]([C@H](C(O1)O)O)O)O","1"
"D-Ribulose 5-phosphate","D-Ribulose 5-phosphate","HMDB0000618","439184","17363","C00199","5591","C([C@H]([C@H](C(=O)CO)O)O)OP(=O)(O)O","1"
"dUMP","dUMP","HMDB0001409","65063","17622","C00365","6225","C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)O)O","1"
"Flavin Mononucleotide","Flavin Mononucleotide","HMDB0001520","643976","17621","C00061","6295","CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O","1"
"Flavin Mononucleotide MH","NA","NA","NA","NA","NA","NA","NA","0"
"Fructose 6-phosphate","Fructose 6-phosphate","HMDB0000124","69507","15946","C00085","5159","C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)OP(=O)(O)O","1"
"Glycyl-glycine","Glycyl-glycine","HMDB0011733","11163","17201","C02037",NA,"C(C(=O)NCC(=O)O)N","1"
"Guanosine monophosphate","Guanosine monophosphate","HMDB0001397","6804","17345","C00144","6216","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NC(=NC2=O)N","1"
"Inosinic acid","Inosinic acid","HMDB0000175","8582","17202","C00130","5196","C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O","1"
"L-Alanine","L-Alanine","HMDB0000161","5950","16977","C00041",NA,"C[C@@H](C(=O)O)N","1"
"L-Norleucine","L-Norleucine","HMDB0001645","21236","18347","C01933","6334","CCCC[C@@H](C(=O)O)N","1"
"Maleic acid","Maleic acid","HMDB0000176","444266","18300","C01384","4198","C(=C\C(=O)O)\C(=O)O","1"
"PE140/140","NA","NA","NA","NA","NA","NA","NA","0"
"Phosphoric acid","Phosphoric acid","HMDB0002142","1004","26078","C00009",NA,"OP(=O)(O)O","1"
"Pyruvic acid","Pyruvic acid","HMDB0000243","1060","32816","C00022","117","CC(=O)C(=O)O","1"
"Ribitol","Ribitol","HMDB0000508",NA,"15963","C00474","316","OC[C@H](O)[C@H](O)[C@H](O)CO","1"
"S-Adenosylhomocysteine","S-Adenosylhomocysteine","HMDB0000939","439155","16680","C00021","296","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)N)O)O","1"
"Sorbitol","Sorbitol","HMDB0000247","5780","17924","C00794","143","C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O","1"
"Acetoacetic acid","Acetoacetic acid","HMDB0000060","96","15344","C00164","276","CC(=O)CC(=O)O","1"
"Beta-Alanine","Beta-Alanine","HMDB0000056","239","16958","C00099","5119","C(CN)C(=O)O","1"
"Biotin","Biotin","HMDB0000030","171548","15956","C00120","243","C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2","1"
"Capric acid","Capric acid","HMDB0000511","2969","30813","C01571","336","CCCCCCCCCC(=O)O","1"
"Caproic acid","Caproic acid","HMDB0000535","8892","30776","C01585","5520","CCCCCC(=O)O","1"
"Caprylic acid","Caprylic acid","HMDB0000482","379","28837","C06423","5469","CCCCCCCC(=O)O","1"
"D-Glucose","D-Glucose","HMDB0000122","5793","4167","C00031","133","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O","1"
"Galactonolactone","Galactonolactone","HMDB0002541","151006","15895","C03383","6712","C1[C@H]([C@@H]([C@@H]([C@H](C(=O)O1)O)O)O)O","1"
"Galacturonic acid","Galacturonic acid","HMDB0002545","84740","47962","C08348","6713","C(=O)[C@@H]([C@H]([C@H]([C@@H](C(=O)O)O)O)O)O","1"
"Glucose 6-phosphate","Glucose 6-phosphate","HMDB0001401","5958","4170","C00668","145","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)OP(=O)(O)O","1"
"Heptadecanoic acid","Heptadecanoic acid","HMDB0002259","10465","32365","","6578","CCCCCCCCCCCCCCCCC(=O)O","1"
"Imidazoleacetic acid","Imidazoleacetic acid","HMDB0002024","96215","16974","C02835","6445","C1=C(NC=N1)CC(=O)O","1"
"Isocitric acid","Isocitric acid","HMDB0000193","1198","30887","C00311","3328","C(C(C(C(=O)O)O)C(=O)O)C(=O)O","1"
"L-Kynurenine","L-Kynurenine","HMDB0000684","161166","16946","C00328","72","C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)N","1"
"L-Phenylalanine","L-Phenylalanine","HMDB0000159","6140","17295","C00079","28","C1=CC=C(C=C1)C[C@@H](C(=O)O)N","1"
"L-Tryptophan","L-Tryptophan","HMDB0000929","6305","16828","C00078","5879","C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N","1"
"Methylmalonic acid","Methylmalonic acid","HMDB0000202","487","30860","C02170","3712","CC(C(=O)O)C(=O)O","1"
"Myriocin","NA","NA","NA","NA","NA","NA","NA","0"
"Pantothenic acid","Pantothenic acid","HMDB0000210","988","7916","C00864","241","CC(C)(CO)C(C(=O)NCCC(=O)O)O","1"
"Trehalose","Trehalose","HMDB0000975","7427","16551","C01083","5913","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O","1"
"Uridine diphosphategalactose","Uridine diphosphategalactose","HMDB0000302","18068","67119","C00052","5291","C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O)O","1"
"Uridine diphosphate-N-acetylglucosamine","Uridine diphosphate-N-acetylglucosamine","HMDB0000290","445675","16264","C00043","5281","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)CO)O)O","1"
"Xanthine","Xanthine","HMDB0000292","1188","17712","C00385","82","C1=NC2=C(N1)C(=O)NC(=O)N2","1"
"Beta-Glycerophosphoric acid","Beta-Glycerophosphoric acid","HMDB0002520","2526","17270","C02979","6708","C(C(CO)OP(=O)(O)O)O","1"
"Biopterin","Biopterin","HMDB0000468","445040","63931","C06313","247","C[C@@H]([C@@H](C1=CN=C2C(=N1)C(=O)N=C(N2)N)O)O","1"
"Cellobiose","Cellobiose","HMDB0000055","10712","36217","C06422","3480","C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O","1"
"D-Xylose","D-Xylose","HMDB0000098","135191","53455","C00181","314","C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O","1"
"Glutathione","Glutathione","HMDB0000125","124886","16856","C00051","44","C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N","1"
"L-Gulonolactone","L-Gulonolactone","HMDB0003466","439373","17587","C01040",NA,"C([C@@H]([C@@H]1[C@@H]([C@@H](C(=O)O1)O)O)O)O","1"
"myo-Inositol","myo-Inositol","HMDB0000211",NA,"17268","C00137","5221","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O","1"
"N-Acetylgalactosamine","N-Acetylgalactosamine","HMDB0000212","84265","40356","C01074","5222","CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@@H]1O)CO)O)O","1"
"NADH","NADH","HMDB0001487","928","16908","C00004","3687","C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)O)O)O)O","1"
"Pyrophosphate","Pyrophosphate","HMDB0000250","644102","18361","C00013","3306","[O-]P(=O)([O-])OP(=O)([O-])[O-]","1"
"Succinic acid semialdehyde","Succinic acid semialdehyde","HMDB0001259","1112","16265","C00232","6114","C(CC(=O)O)C=O","1"
